OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,favoritePartDestinationKentState,anyAdditionalComments
,It was great. She was very personable and helped me a lot and I really appreciate that. ,,The group bonding activities with your designated college.,If you plan on staying with your roommate at DKS to add you have to check in together at check in. ,Connecting with the flash guides and other peers! ,Thank you! 
,,,,,,
,,,,Making it worth time for parents and families to attend. Very few sessions differed between family and student which made it borderline pointless.,,
,,,,,,
,,,,"Sports teams, rec center, athletics ",I liked going downtown ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,More group activities and games,No,The food was good and scheduling classes was very organized.,No
,,,Having major-specific meetings more maybe? And having more social time and less repetitive lectures?,More time on where classes are at,After dinner. It was nice to actually get to know people beyond their name and major. ,
,,,,,,"In my opinion, none of the mini sessions on day 1 told anything new. By now, student should have housing application done, so at this point many would like to know more about what the dining halls offer or what are suggested things to bring for your dorm.  "
,,,,,,
,,,,,,
,,,,,,"As a CCP student who took classes full-time, I am well-oriented with Kent State and general life as a college student. I also feel comfortable meeting new people and balancing school life. We spent too much time in the ball room. My experience was that very little of the content was new or helpful. After the advising preparation session, I went home. I felt that the push to get students to socialize was unnatural. The next day, I came back to schedule my classes. My father was with me, and they were very passive-aggressive about getting him to go somewhere else. I understand the concern, but it was somewhat off-putting and offensive for both of us. Other than that my advising experience was very good until I scheduled classes. I still need to change my schedule because I plan on taking some classes at Stark. People in the scheduling area seemed unable to do so. Despite the experience, I look forward to continuing my time at the university."
,,,Making connections with other people and starting conversations,,Check in in the ballroom was really fun and everyone who spoke did a nice job and kept everyone awake ,
,I really enjoyed the time that my advisor took to ask questions and get everything perfect. I left feeling more confident and informed.,,Extra social time within our college groupings.,,,
,,,,,,
,"It was nice to be able to meet with current students or former students and get their feedback on which classes to take. Also, I like how we are provided with a mock schedule so we have an idea of which classes we need to take in order to fulfill our major’s requirements.",,"More time to socialize. The first half of the day was spent sitting and listening, not giving anyone time to meet people. Ice breakers were fun but afterwards we split up again. And lastly the “Glow Party” was fun but no one really knew each other so it was hard for people to “get involved”.","Letting people know their roommates and dorm assignments before dks so they are able to meet their roommates and see their dorm in person, giving them the ability to plan what they need/want for their dorm since they’re set up differently/different sizes.",,
Study beforehand ,,I feel like they didn’t take the time to look at my ccp records beforehand. ,More time to mingle within my actual college,,Walking downtown ,
,,,,,Meeting new people,
,,,,,,
,"My advisor was very nice and I am glad i met with him. He made picking classes, which I was worried about, seem easy.",,If we talked more about our interests to try and make some friends.,Navigating campus,I liked talking to the flash guides they were very informative.,
,,,,,,
,,,,,,
"No, just make sure you take the tests.",,,Maybe seeking out connections and having more bonding times,No,I liked the food in Eastway and how organized the event was,
,,,,,,
,,,,,Flash guide stories,
,,,"Instead of awkward “ice breakers,” just like 20 minutes without parents to talk to each other ",Talking about walking to places and riding the bus and whatnot.,The food,
,,,,,,
,,,, Core class options and what is recommended. ,Getting to experience downtown with my friends and having a good experience choosing my classes. ,
,,,,,,
,,,,,Everyone was happy and helpful.,
,,,Being more outgoing ,Getting around campus ,Getting to meet the flash guides ,
Let students use their own calculators,,Most lectures were for parents such as money matters,most likely nothing,money matters for students whose parents aren't helping them pay for college,Academic advising,
,,,,The summer reading program should have been elaborated on more. I only found out about it by word of mouth. I think it would be best to announce on day 1 rather than on the second.,,"A bit long winded, but I did enjoy the program. Thank you for being so welcoming"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"The program was a bit glitchy when I took my test. I contacted support, but by the time they got back to me I had completed my test. ",,I loved the guy who spoke at the “living on campus” seminar!!!! He was so funny and taught me so much all at the same time. I wish I heard more stories from my flash guides though. I felt like we were doing a lot of activities to break the ice and not a lot of listening. The confessions of a flash guide really had no confessions in it. We played a bingo game instead. I would have loved to have listened to stories about college experiences and stories the guides have from when they were freshmen. ,I think connections almost have to be on your own. I made my connections while walking to and from places and just because I happened to sit by someone in a seminar and we introduced ourselves and clicked. I don’t think you guys should push any thing more or could help in any other way. ,Actually stories from the flash guides instead of ice breaking activities. ,Meeting the people and getting to see what I would be walking into as well as giving me a lot of information that I need to start school in the fall. Learning all that info now is great instead of learning it the week I start college. ,
,,,,,,
I feel like there needs to be more emphasis on taking the placement tests because some of my friends didn't even know that they should be done with the tests before DKS.,My advisor was Heather Eaves and she really made me feel so much better about coming to Kent State in the fall. She was such a big help to me!,,,,"My favorite part was probably the question thing with out Flashguides because I was able to ask some questions about the social aspects of college and learn about the ""college experience""","I feel that the DKS experience was very good and informative however, my friends and I agreed that the whole process was drawn out. We felt as if all of the different sessions were focusing on what's going to happen at the advising appointment. I think advising should be on the first day and most of the other activities are optional."
,,,,,,
,,,,,,
,,,,,,
,,,The Ice-breakers were a great way to find out what was common between students.,"Maybe a little more time to explore downtown, or more of a collage tour for those still confused on how to navigate the collage.","The flash guides were amazing. We were given “bluestorm,” and they were just great. Fun, informative, and so amazingly helpful.Kaelee Dingey in particular. I had a chance to talk with her from everything such as finances, to clubs/campus involvement, to academics and success. All-in-all, the flash guides were what made DKS worth the trip.",Go Flashes!
,,,,,,
No my placement assessment was great.  ,,,,,,
,,,,no,no,
,,,,,,
,,,,,,
,,,,,Meeting new people and exploring campus,
,,,What your doing now is excellent,"Bus routes and more information for commuters and where they need to park, walking times, and what concerns you have for commuters",The rooming. It it helped me bond with people and it was nice to get to know other people,
Don't make me take the ALEKs exam for a Global Studies major. ,,,,,Socializing with the flash guides and other students. As well as discussing advising  ,
,,,Everything was perfect- the get to know you games throughout the day and in the college break out sessions were very helpful!,,"I really liked making new friends and all the icebreaker/social activities! The Flashguides' energy, enthusiasm, and willingness to help made it a great experience and now I feel very prepared and even more excited about attending KSU this fall!",It was a great experience!
,,,,,,
N/A,,,,,,
give access to a range of activities for students to do. ,,,,,,
,,,,,The optional and variety of different presentations ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,"More activities that involve more social interaction with the students. There were quite a few activities that involved a groups activity with the flash guides, bot not many activities with student to student interaction.",,,
,,,,,,
,,,,,Food,I think the speakers should have been broken up more because people were getting restless.
,,,,,I really loved the panels we were able to choose from. It allowed me to get the information I wanted to receive.,
,,,"The thing that personally helps me with making connections, is time, and working together in a classroom environment ",,Meeting all the incoming students,This was really good and I had a great time 
,,,Having small groups picked randomly,,"Getting my schedule, I’m glad I know my classes now",
,,,If people socialized more and participated in the activities ,,Getting to know the Flashguides,
,,,,,,
,,,,,,
,,,Having more time to talk to the people in my major,Specific major discussion groups,Going to the pre-advising appointment,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,I felt a little rushed. I wish it was a little longer and I could’ve met my other advisers. ,,,,,
,,,,,My favorite part of the Destination Kent State experience was the academic advising appointment.,
,,,More interactions in smaller group with just your college,,"Scheduling classes, and interacting with the people of my college",
,,,,,,
don’t overthink the score- if you think you failed... you probably didn’t.,,,i honestly don’t know,,,
,,,The day was so boring I wasn’t looking to make friends ,,,
,,,,,,
,,,,,,
"No, I thought that the Placement Assessments were straight forward and helpful.","I had a very pleasant experience with my academic advisor. My advisor was very helpful and knowledgable and was able to guide me and answer any of my questions or concerns about my upcoming semester, as well as my specific major.",The information was useful to me and helped me to become more knowledgable about my future as a college student.,"I did not know anyone going to my specific DKS and I am quite shy, so I would have felt better if I had a close friend with me.",Transitioning from high school to college life. Perhaps have a handful of Flash Guides tell their specific stories and struggles/challenges with adjusting to college life for the incoming students to hear. This could help us relate to the guides more and allow the chance to talk to the guides whom we related to and get their advice.,"I enjoyed the fact that we were able to stay with our parents for a majority of the first day--that helped me to feel more comfortable being around people I didn't know. I also liked that we got the blank sheets to fill in Kent core classes that we are interested in, as well as receiving the book containing those classes. I found that very useful in deciding which classes I wanted to take this fall.",I found that most of the sessions at DKS were very useful and provided good information about Kent State. All of the staff members were very excited and more than willing to help anyone who needed assistance. Both of the days ran smoothly and were well organized.
,,,,,,
It was too hard to try and graph on the computer and use the materials given. I feel a written test would be much more beneficial ,,,,,,
N/A,,,,,,
,My advisor was able to answer all my questions thoroughly and helped me feel much more sure about my future endeavors,,,,,
"Only that review is important, and can help you to be placed in the correct classes","It was very efficient, and I enjoyed being able to ask whatever questions I needed answered",N/A,A little bit more structure in the social time might have helped. The way it was set up we had to do all of the introductions ourselves.,Not really,"I really enjoyed the social times, and I personally felt satisfied with the schedule advising with a personal advisor",N/A
,,,,,,
No.,,,Being more talkative and social.,No.,Scheduling my classes and receiving my flashID.  It felt like I was finalizing my decision to attend Kent.,"Finding the check in and navigating the campus at first was difficult, so maybe having guides outside in the parking area and around tri-towers could help people find it more easily.  "
,,,Having us be without our parents more. We connected better when parents were somewhere else,,,
,,,,,,
,,,Grouping off into other groups than just the students in my college.,Getting to know the campus.,Playing ice breakers with the flash guides.,
Make it easier for phones use  ,,,,,,
,,,,,,
I don't normally take tests on computers so it was a lot different for me. ,My experience was very helpful and my advisor answered all of the questions I had. It was very positive. ,They were all very helpful. ,I was able to meet my roommate and people from my college. ,I think there should be more time when the students are without their parent and able to make connections with other students.,I liked being on the campus for the night and finding my way around. ,
,,,"I mentioned this earlier, but more social time prior to the actual orientation. Yes, the presentations are important, it was just a very long time to sit in one space without connecting with my class.",,,
,,,,,Dining and getting to know the campus,
,,,,,,
,,,,,,
,,,If we had more time to really talk and socialize with my peers.,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
No. Did not have to take one.,Went well and very quick.,I felt it was not necessary for me as I already had almost 40 credit hours.,,,,
,,,,,,
,,,,,Hanging out with other students go get to know people. ,Need to provide water/drinks at the night portion. Also provide snacks or better ice cream. 
,,,,,,
,,,,,,
"The language tests would do well to include writing and/or speaking portions. While I understand this would be quite the time-sink to grade and process, writing and speaking a language are just as if not more vital to true comprehension than simply reading it. I wouldn’t consider myself very well versed in French, but was able to test into Intermediate French I on my piecemeal knowledge, context clues and lucky guesses.",,"Many sessions felt overly similar and monotonous; they very likely could be compressed into less sessions, been made optional or cut entirely.  The time used for these sessions would be better spent helping students connect, especially in groups based on major or college.","More time spent in small groups, either random or based on major or college.",Small groups based on major or college.,,
,,,Activities designed to get other students with the same major to learn more about each other and to make new friends. ,Information about summer homework. ,All of the help that I received from the speakers and guides. ,
,,,,,,
,,,,Parking & more in depth explanations about dorms,Flash-guides,
,Didn’t answer questions from survey or refer to survey that was filled out before coming. Made survey feel like a waste of time. ,,Separating student from parents more,,,
,,Very long without breaks or hands on activities. ,Being more involved with members of the same college/program. ,Tours of important areas/resources. ,,
,,,,,,
,,,,,,
,,,,,Meeting new people and the evening social activities ,
"None. I think the way that the placement test was set up was good and when completed, easy to understand the analytics involved in our scores. ","When going into the process of scheduling classes, my advisor was helpful in answering all the questions I had, and gave me more insight into anything I thought of, and couldn’t be more pleased with the experience. ",N/A,"When I had connected with the other students, the game hosted by the flashguides, in my case Solomon, was where I was able to talk and connect with the others as a whole. ","Personally, the housing could have been more explained, for example, to live in Manchester you must be a part of the EHHS-LLC. Information such as the previous example could have been more explained to us, however, it was not a large issue. ",Getting to connect with the other students along with the flashguides after our day ended back at the dorms and in the lounges. ,"The overall experience at DKS was a positive one and helped not only myself, but the others around me, find new people we can connect to, connect to our specific programs, and how to experience college while also maintaining academic expectations. "
,,,,,,
,,,,,,
,Very well done. It went quickly and I understood everything. The advisor made everything very clear.,It was fun and informative both days! I had a lot of fun during the evening activities during the first night.,More time to socialize. ,Maybe talk more about move in day and what’s allowed and what’s not allowed. Also be more specific about what kind of ID they need to see in order to make a flash card. ,I loved all of it! I loved the evening activities I loved the name tag decorating and the picture frame opportunity. I loved meeting some of the new incoming students.,
,,,,,,
,,,,,After dinner when we went back to the residence halls and we did fun activities and got to connect with peers. ,
,,,,,,
,,,,Safety,The GlowParty,
,,,More student small groups. My parents did not stay so I felt a little awkward being around adults and students. I feel I would have made better connections with small student groups. ,"Purchasing books and supplies, how and where to. ","Meeting new people and experiencing life away from home. I liked being able to be on a college campus without family members, it gave me the chance to feel like a real Kent State student. ",
,,,,,,
n/a,n/a,,n/a,,,
,,,,,,
It was a little complicated at first but eventually you catch on.,,,Being able to talk to people in the other colleges!!!,No,Being able to explore the campus and downtown with anyone from any college.,
Have your teachers actually teach you things ,,,All the same gender and want to have a good time ,,,
,,,,,,
,,,,,,
,,,,getting student loans and the process in doing that,,
,,,,,Getting to explore campus.,
,,,,,,
Nope,,,,How to pay for college?,,
,"The way you went about taking up time while others went was badly done. I had the very last appointment and it was long grueling. The listening to Flashguide stories would work if they were actually stories, and not a Q and A. If it was flashguides trully telling engaging stories it would have been better. ",,Forcing students to mingle rather than just if people felt like it.,"How to prepare yourself for classes, such as getting books from the bookstore or finding professors syllabus.",Being able to talk to the Flashguides and other incoming freshman.,
,,,,,I was extremely nervous about going to DKS but I enjoyed every minute of it! My favorite part were the people that were involved in making me feel comfortable on campus!!,
,,,,,,
,,,,,,
No,,,,,,
,,,,,,
,,,,,,
,,,,,,
n/a,n/a,n/a,kids not shouting fat jokes at my family members & then them mocking me for bringing them on campus. ,acceptance/being nonjudgmental ,n/a,treatment from other students made me question whether or not i truly wanted to attend this college
no,,,The group chat we all joined when we got there was actually a really good way to kick-start a few friendships. ,I don’t personally think so. Everything was really  thorough and helpful. ,"Honestly, the flashguides were my favorite part. They made the whole going to college and starting a new life chapter seem less scary because they showed us they were doing it. they were really easy to connect with and made DKS a lot of fun ","Going into this, i really didn’t want to do an overnight stay and have to do DKS at all. However i am really happy with the outcome and i’m glad this was something new students had to do. "
,The advisor was great and really presented important information in a timely and practical manner. ,,,,"The whole DKS was very organized, but my favorite part was the times when we had freedom to explore on our own.  ",
No,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"I was never told that being in a living learning community would affect my scheduling. I was never informed that I was going to be with the members of this  community for every one of my classes; I am dissatisfied with this as I wanted to be with different people in my various classes.  Despite this, I was satisfied with my scheduling as my advisors were very helpful and understanding.  ",,,,,
,,,,,,
Add a calculator for any and all questions. In my school everything in math was taught on how to use the calculator for the question given so at times it was difficult to do because I didn’t know how to do most problems by hand. I’m speaking for my school not so sure if others feel the same. ,,,Give us time to introduce one another ,"Financials. Some students have to pay for their college by themselves including myself it would be nice to know how to get loans, grants, & scholarships to pay for college. ",My favorite experience was walking through down town it was nice to feel relaxed after a long day. ,
,,,,,,
,,My family and I loved the guy who gave the “Living on Campus” session. He was very funny! He was also relatable and gave helpful information at the same time. ,If we did more games our group activities that got people together and had them work together. ,Maybe add more time finding our own way around campus and also adding group games or activities to get more people to connect with each other. ,I loved the beginning where we made our name tags with the flags. I thought that was a cool idea. I also enjoyed talking with the flash guides and going around learning more about all of the things I can do on campus when school starts. ,
,,,,,,
,she was great! very easy to talk to and she helped me with how to prepare for my classes!,,I tried reaching out to people and we either didn’t click or they did not want to talk. ,it would be nice to get to talk to some of the professors and get a feel for how a lecture or lad would go. ,walking around campus and the down town area. i also got to meet my roommate ,
,,,,,,
No,,,Having no choice other than to talk to other students throughout the day.,No,Getting to know current and future students.,
,,,,n/a,Choosing classes,
,,,,,,
,,,our similarities ,a more in depth tour of campus,the glow party,all the additional information from the staff was unnecessary and it could have all been fit into a day or half a day if it wasn’t dragged on
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,I really enjoy how involved your advisor is in your first year and beyond because it gives you a contact going into college.,,,I think there should be more time broken up by major so you can get to know the kids that you will spend most of your time with in college and get to know them a little bit better.,My favorite part was meeting with my advisor and setting up my schedule. It put me at ease and made me feel more confident coming to Kent State in the fall. I also enjoyed hearing about the flash guides experiences and get an idea of what worked for them and what didn’t.,
,,,,,,
,,,More time in our college groups,More things for commuters. There was a lot of information that didn’t apply to us at all,Tours,It felt very useless as a commuter to have to spend a day and a half on campus. I think a lot of the information was good but also very guided toward people residing on campus. There just needs to be more information for commuters
,,,,,,
There is no calculator use unless shown.,,,If the parents and students were separated earlier.,,I loved how you got to choose what to do and where you want to go. I liked how we walked around to get to know the campus more.,
,"My advisor was very helpful, but my schedule proved difficult and i wasnt able to get all the classes i wanted",The flashguide Zook was amazing and extremely helpful and cordial. ,,,Meeting friends as i was very afraid of not having any ,
,Everything was organized which made the whole process so much easier.,,I thought it was well done.,,,
,,,,,,
,,,,,,
,,,needing friends,,,
,Joan was the best and she went through everything with me and I thought that was great,,,More time on things we don’t really know about like how to buy books or things that we must do before school starts like the common reading assignment,I liked asking the flash guides about their experiences ,
No ,The lady didn’t talk to me. ,,,,,
,My advisor was incredible and was super helpful with my unique situation of already having 2 years of ccp under my belt... I was given so many amazing tips for my first year and I’m so grateful for it.,,,,,
,My guy was not my advisor but he still helped a lot and he was super funny. ,,more time to chill out with them ,a set campus tour that they make you do. ,glow party ! it was the bomb,
,,,,,Meeting new people and getting to have guides but also being able to do our own thing ,
,,The one professor that spoke during “your first class” that repeated “Kay” after every three words.. should probably realize that and try to fix it as it was EXTREMELY distracting. ,More mandatory group activities ,,Listening to the man that spoke about living on campus. He was SO funny and entertaining! ,
,,,,Independent campus exploring time,Meeting friends in my major and out. And registering for classes,
No,,,,,,
,,,more time with your college,,,
,,,,,,
,,,,"Unless the student is out of state, I believe DKS should be for the students only. ",,
,,,,,,
,,,,,,
Maybe make the test available earlier to students so they can complete it while they still remember everything from high school math,Nothing,,Having the parents around less would help for students to make more connections ,More time having the new students socialize with each other ,Hearing stories and advice from the flash guides ,
,,,Idk stuff just happens naturally,Maybe more on the poc and queer experience.,Sleeping,For roommate instead of random people should fill out a little survey with their interest and then be matched with someone similar to them.
,,,,,,
,,,I would have liked to have other incoming students with similar academic interests to talk to and get to know. ,,Get to connect with other incoming students.,
,,,,,,
,,,,,,
,,,"Having a roommate would’ve been nice, it would’ve at least given me a chance to try to make a friend. Or at the very least someone to sit at breakfast with.",,,
It was very simple. ,,,,,,
Put a warning to tell them to take the test seriously. ,Talk students through the process and show them what classes they are taking before you sign them up for them. ,,Being able to actually talk to people. There was really no time to because we were in lectures all day ,Expectations of Professors; More time on advising. ,Tour of downtown Kent,
,,,,,,
,,,,,,
,,,,,Meeting other incoming students ,
,,,,,,
Have a review button to go back and check their answers :) ,They were so nice and understanding to my needs and goals :),,Similar instances,I think you guys covered it perfectly! Give yourself a hand :) ,"My favorite part of the DKS experience was the food (I know, how cliche) but it’s true, the food was amazing! Even though the lines were long, we still had more than enough time to eat, my compliments to the chefs! ",
no,,,,Showing students where there classes are,,
,,,,,,
,,,Being friendly and saying hi to everyone,,Walking around campus ,
I do not have any feedback. To get to ALEKS was pretty self explanatory. ,,,,,,
,,,More time all together without parents,Exploring the whole campus,The food at Eastway slapped,
,,,,,,
,,,,,,
,,,,,,
,,,I did not go the evening activities...if I had I would have met more students. ,,,
,,,,,,
No ,No ,,Having similarities with them ,No ,Food friends ,I don’t have any 
,,,,,,
no ,,,,,,
,,,,,The freetime in the dorms.,
,,,,,,
It just doesn’t seem purposeful,,,,,,
,,,,,,
No,,,,,The glow party ,
,,,,,,Ima commuter. Forcing me stay was unnecessary. Not the positive first experience I was looking for
Negative,,,,,,
,,,,,,
,,,If I was more social. Since I was an out of state student I felt left out because everyone already had friends or knew each other.,Flash guides stories ,The glow thing because the NBA finals were on a chilled with people who also enjoyed basketball.,
,,,,,,
,,Some of the beginning speakers when we first arrived seemed to really repeat themselves a lot making the presentation very unengaging. ,more activities that involve only the students ,I would suggest maybe providing more information about transferring credit and buying books. This is a side note but i also had no idea about the summer reading until DKS so maybe place more emphasis on that. ,I really enjoyed when we got split up with our own colleges and got to meet the kids that we’ll be spending the most time with. ,
,,,,I would of like to learn more on the differences between housings and what to bring on your first year,,
,Kristin was such a joy to work with! She took the time it took to make sure I loved my classes and the times I was taking them!,,The group me and snapchat,,Meeting all my new friends!!,
,,,,,Being able to spend the overnight with roommate of the fall,
Nope,,,,,Being able to see and tour my college building for my major. ,
,,,,,,
,,,,,,
,,,,,,
,,,Because everyone was nervous about making new friends I feel like it was easier to make new friends.,Everything I needed was at DKS.,"I really enjoyed all of the activities we had at night. It was a lot of fun, and it helped me meet new people. I also enjoyed being able to ask flash guides about any concerns for the fall semester. ","I have a peanut allergy, and my family and I greatly enjoyed how everything was labeled with its ingredients, and cross-contaminants in the dining halls. "
,,,,,,
If you have to retake the place to try and change it to take it at your house again instead of going to Kent State and retaking it. ,Worked with all my needs and interests! Was very patient!,Have more people talk about the specific opportunities ,Get out of my comfort zone ,What to being for the dorm ,Talking to the flashguides ,
,,,,,"Going to my individual college and learning more about it, and getting to know the routes with shortcuts",
,Would not allow me to schedule classes; my guidance counselor was very apologetic and helpful later on though. Never got to ask any of my questions that I had about CCP credit nor AP credit.,,,,,"The fact that this program is mandatory is completely ridiculous, especially as neither my mom or I learned anything new. Being a CCP student and already planning on commuting means that all I cared about was my advising appointment and possibly learning more about finances, and everything could have been done in both 1 day and without having to go through the dirge of this program. I didn't even get to do my scheduling, as this school's website was not working, as it often does. This whole process was worthless and unnecessary. We were both often bored and unable to actually do anything we had wanted to do on campus."
The site is very confusing and I was unaware that you could take the test twice until after DKS,My academic advisor was very helpful and super nice. I was able to get all of my questions answered and was in and out in a timely manor. ,The “ask the flash guides” and “confessions of a flash guide” were not very entertaining and were somewhat boring. ,N/A,Spend more time talking about where to get books and also more time walking around campus so we could get comfortable with it. ,I loved being able to meet so many incoming students that shared similar interests as me or were in the same major. That makes it so much easier to have peace of mind about the fall. ,N/A
,,,,,,
,,,"Sharing majors and experiences was a big help, and probably the main reason I talked to them at all.","Maybe explaining the move-in process? I know we get emails and things about it, but I'm an auditory learner, so having someone tell me really helps me understand","It wasn't even one particular experience, it was more that no matter where I turned I was reassured that I was wanted at KSU and that I would be supported and given any help I needed to succeed.","The whole experience can be pretty overwhelming, especially for atypical brains and people with SPD, but overall you guys do an amazing job and I'm so so so happy to be able to attend KSU this fall."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"I would have liked to see a little bit more communication from the university about which placement tests I needed to take, how long they would take, and which classes they would ultimately impact. I felt that I went into the tests not knowing exactly what they were and how much of my time they would take up. The actual technology for the Placement Assessments worked perfectly though!",,That was a really good session! It gave me an opportunity to meet other students who share a major similar to mine and got me thinking more seriously about study abroad programs.,"The person I connected with was my roommate, which meant that we were forced to talk to each other to some degree. I think having other activities where I was forced to talk to other students, even if it was just introducing ourselves, would have helped.",,One of my favorite parts was the opportunity to meet with an advisor. This helped me to feel more confident in the support system that I have at KSU and relieved some of my nerves in terms of what type of course load I will have in the fall.,My DKS experience was great overall! My only problem was that I felt rushed during scheduling and so I ended up choosing a schedule that was pretty full on some days and I had to call my advisor once I got home and make some changes. 
,,,Getting to interact with kids who had similar interests to me. Maybe filling out a questionnaire before you attend of your interests and letting you interact with kids who had those similar interests as you. ,,scheduling my classes,
,I have no complaints. Emily was very welcoming and reassuring about every academic nerve I had.,,,"Talk more about the Honors program, or add more opportunities for Honors College students to learn about it.",Anything about asking Flashguides was very helpful.,
,,,,,,
no,It was nice to meet with someone whoo could help me reach my career goals,,Finding things we were all interested in ,no,I liked our first class because the professor was really funny and taught us a lot,
,On my schedule it said I had a 9:30 appointment to schedule my classes but when I got there it said I had a 10:30 appointment.,,,,,
,,,,,"I throughly enjoyed my advising appointment and scheduling classes. Not only was my advisor superb, it was also throughly satisfying being able to plan out my next semester with the help of my advisor. ",
,,,Less meetings! The meetings at the very beginning seemed pointless until we split off into our specific major meetings. There was 2 hours at the beginning that I believe were wasted when we could’ve been meeting others,,When students had free time at the end of the night. We could all just hangout and actually get to know one another ,
,,,more ice breakers,,,
,,It was a bit boring and the icebreakers weren’t very engaging.,,,Eating food at Eastway,The first day events in the ballroom were a waste of time and not the least bit informative.
I didn’t have to take any.,,,,,,
,,,more down time ,,,
,,,,,,
,,,,,The food was really good. And meeting new people ,
,As I said before I felt rushed. I also felt like my experience wasn’t the best because he wasn’t prepped about my interests/situation. I want to major in business with a concentration in nursing home administration. I had done previous research so I know this is possible but he didn’t really understand what was happening and I just got more confused. I feel like the advisors may want to take more time to figure out/look into the things we fill out before we actually meet. ,,Random roommates only. It’s not as easy to meet people when friends room with friends from their hometown. ,,Hanging out with the flashguides. They were so energetic and interactive. Great group of people. ,Shorten the speaker times at the beginning of day 1. To a lot of people it seemed repetitive and we lost interest because of that. Also the big group chat for summer communication kinda backfired because most of the students just talked on that during presentations. 
,,,,,,
,Was very nice and went out of her way to help me outside of our appointment.,,A lot of kids stayed with their parents instead of going out talking to other kids,"My friend is still confused on how to get loans by herself, so maybe more stuff on financial aid",Social time and being with my specific college. Also asking the flash guides questions.,I just can’t stay focused in long periods of talking like the morning session. It was still good information tho. 
Study before ,,,,,,
,My advisor is great and is really there to help me get what I need.,,"Having a survey before DKS just like the housing form so we could get roomed with someone like us, then have activities with the floor you are on to get to know others.",,,It would be nice to have water provided throughout the whole day
,,,"Making one friend leads to making another friend of their friend and eventually you build a small network. I do wish there had been more ""Get to Know People"" events where we could just mill about a talk with others and do other ice breakers but I understand that's hard to do with such a large group.",Definitely more ice breakers. They're fun and hello people feel a little more comfortable.,Being around friends and meeting new people.,"It was fantastic, I've never experienced anything like it. The speeches did tend to drone on during the first day and there was a lot of unnecessary repetition. But getting to be on campus and in a dorm and around others was enjoyable beyond measure."
,,,,I would shorten the whole experience. I felt the morning half I already experienced during Flash day and it was VERY repetitive. The whole experience should fit in one day. Half the kids I talked to including myself left during the sessions and went downtown to dinner. We did so because we were bored and it was a extremely long day. ,My favorite part was going to my college and picking classes. Also getting my flash card. ,It was extremely dragged out and quit boring at times. 
,,,,,,
,Day 1 was boring as hell,,,,,
,It was great and they helped me to get into classes I wanted to be in. ,,More time away from parents. ,,Getting to relax with with my class mates and getting a real experience of college life. ,
,Adam is a animal when it comes to scheduling he made my schedule how I wanted it for my needs perfectly and was super coolio wouldn’t have wanted anyone else to do it great guy,,Similar interest ,,Getting to meet new people ,Overall a good experience 
,My Academic Advisor was really helpful and really down to earth with me.,,Play a team work building game that forces you to communicate with each other and learn other students names.,,I Enjoyed After the parents left. I got to socialize with other kids and I like walking downtown that was fun as well.,
show how to get the right answer ,very helpful and didn’t rush ,,more activities ,,learning information i had not known before ,
,,,More social events,,My favorite part was socializing with students downtown and at the glow party. ,
,,,,Actually talking one on one with college students and getting to know people.,The social activities. ,
,,,,,,
,I really enjoyed meeting with my academic advisor. He did a very good job of helping me and was very nice to talk to.,I enjoyed attending.,Being a little less shy.,"I can't think of any changes, everything was very good.",The downtown tour and scheduling my classes. I really enjoyed the walk. The weather was nice and the flash guides did a really good job. I also really enjoyed scheduling my classes. My academic advisor really helped me a lot and I enjoyed talking to him.,
,She was incredibly inviting and made me feel like I belonged there,,,,I really enjoyed the time spent with the flash guides. They were a lot of fun to be around and they were all incredibly welcoming which made the trip a lot better. ,
,,,,,my favorite part was the games and stuff at the end of the first day. You really got to meet and talk to more people and just unwind at the end of a long day. ,
,,,,,,
To have some multiple choice questions on the math assessment. ,"I thought is was very helpful, but I would like to have seen the personal roadmap to see my classes and the actual map. ","Overall, I thought it had a lot of information, but I would have liked a break or a shorter session. ",Having more free time in the beginning of DKS. ,"Having someone talk about their personal schedule their first year, and how it was like for them.  ",I loved the free time in the evening where we could just relax and meet new people. It did not feel forced or boring. ,"Overall, I thought the last two days were very helpful and made me even more excited to come to Kent State in the fall."
,,,,,,
,My academic advisor was very helpful. She was able to answer every question I asked and provided me with all of the resources I may need during my first year of college.,,"I really liked the game that Charlie had made, where we formed a circle with the group of students and tossed a ball around. On the ball he had written random questions that ranged from ice-breakers to ones that were more personal. Whoever the ball was thrown to had to answer the question of either  thumb the question had landed on.",,Playing the game that I mentioned earlier that Charlie had created. I also enjoyed the dance party with karaoke at the end of the night. Even though I did not participate in the singing I was able to meet other students during the time spent there. The flash guides did a very good job at getting everyone to socialize and connect with one another.,
