OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,spendMoreTimeDestinationKentState,favoritePartDestinationKentState,expectedAsAKentStateStudent,anyAdditionalComments
no,"he really helped me to know that i should get a tutor as soon as i could, and to start doing little things around my home to make me get used to living as an adult. he also showed me programs to get involved with that deal with my major, and was very personable and helpful for my future at kent state. ",n/a,n/a,my favorite part was probably walking downtown kent ,"to stay focused, get involved, and do my best ",n/a
,,,,,Kent State pride ,
,,,,,Work hard and get involved ,
,,,,,,
,,,Navigating/Mapping it out. Sometimes I had absolutely no idea where we were going.,I liked the 1 on 1 meeting with my academic advisor. She was extremely helpful and knew what was best for me.,"Doing my best, and feeling successful at the end of my 4 short years.",
,,,,,,
,,,,i liked getting all the info i needed,go to class and graduate on time,
,,,,My favorite part was class scheduling. It made me even more excited for my future. ,"Be responsible for my own success, participate in academics and co curriculars ",
,I was very unsure and still am about my major and my academic advisor urged me to think about exploratory be clause it would not change my schedule hardly at all   ,None  ,None  ,My best part about DKS was hearing the flash guides personal stories. Made me feel at ease a little about the whole college atmosphere and work load  ,To do my best and realize that it is a more mature atmosphere and will be expected to to be responsible for MY education.,
,,,,Getting to connect with soon to be classmates,"Everything from pride to academic success, just to be true to you.",
,,,Showing the campus more,Going downtown,Get a degree but enjoy college,I did not like the elementary school like activities
,,,"No, all the topics and experiences had a lot of information and were easy and fun to learn about. ",My favorite part of the DKS experience was being able to talk to and hear from students that are going to Kent State. I felt more relaxed meeting them and hearing their stories and advice for the next few years. ,To find something you are passionate about and work hard to succeed in doing something you enjoy. ,
,,,"I think there should be a small break during the hectic day to calm down and actually tour the campus, because most of us still didn't know how to get back to eastway",Being able to meet with my academic advisor who really seemed to show an interest in me,"To support and encourage every person, and to appreciate all the diversity",
,N/A,,No,Talking with the flashguides and how helpful the they were.,Put forth an effort and enjoy your schooling as well,
Not really.,N/A,N/A,Maybe a tidbit about options for students with disabilities.,"My favorite part was hanging out in the Center Lounge, doing karaoke and line dancing. Everyone was dancing and singing and playing games, just having fun overall. It's a good way to connect with new people and hopefully learn some things about them. Some people that I met, I didn't know they could sing so good!",To work hard and go out of my comfort zone to achieve my goals in life.,N/A
,,,No,Connecting with Flashguides,Commitment,
,,,,,To be the best I can be. ,
,,,,,,
,"My academic advisor was very nice to me and seemed very knowledgeable about my scheduling. I wish my friend(s) could have him as an advisor too. Overall, I feel that my advisor really cares and will help guide me in the right direction and make sure I enjoy my years at Kent State. ",,,going to the college of engineering and getting to stay in a dorm getting the college experience.,To do my best and get good grades but also have fun and get involved in activities.,
,,,more on the campus it self. I feel mentally prepared in terms of safety and what not however little was said about the actual campus like where to go if I need something and where its located. I feel like little was said about where everything is.,meeting new friends ,to be myself and embrace every passion I have in school ,
,,,,Evening activities! I loved the flashguides!,"Respect myself, my peers, my school, and do what I need to succeed.",
,,,,,To conduct my self as a responsible adult rather than someone who doesn't care.,
,,,,,,
,,,,The Flashguides were my favorite thing because all of them were very outgoing and helpful.,To succeed in the highest way possible.,
,,,,,,
Make sure they are notified by email a decent while before the deadline,,,,The energy that came from the Blue Team was just incredible. They were so helpful amd friendly.,To be the best student you can be and represent Kent well.,
,,,,,,
,,,,,,
,,,,"My favorite part of my experience was hearing the ""flash guide stories"". They were actual stories to help prep us for our futures.",To get involved in as many groups and clubs as possible in the beginning of the year. Also use all of your tangible resources to make you successful.,
,,,Getting prepared for college,"the downtown Kent walk, dorm stay",I will be proud of my school and strive for academic success and make Kent State my home away from home,
,,,,,"Don't do anything bad, graduate",
,,,,"Having free roam to explore the campus and figure it out for myself , but also have the option to use a flash guide ",To be the best I can and perform at levels I'm known to be capable of. Also to love my school and act as a positive influence on others. ,
,They're very understanding and you can tell that the advisors want nothing but success from their future and current students. They exceed my expectations of helping me to succeed in the near future.,,,Mt favorite part was connecting with other students and having freedom around campus. There was even a part where I knew the way better than my flashguide.,To have pride in where I am going to school and prove to everyone that Kent State is the place to be. I believe it is expected from everyone to show the golden flashes are the best.,The DKS program is great and there are so many things about it that help students in the future.
,,,,,,
"When I took the foreign language one, the website crashed on me and i could not get back to where i left off. ",My advisor was great! Easy to talk to and I had a great experience.,,,The evening activities because  they were very fun and i got to be social.,Get involved and do everything to be my best self. ,
,,,,,,
,,,,How energetic and exciting the flashguides were ! ,To try the best I can ,
,,,,,,
,,,no,Just learning about the transition and meeting new people since I am an out of state student and I am much more comfortable having met people and I made friends as well,I believe that succeeding academically is one of the main goals at Kent but also to find a support group and put yourself out there to grow as a person  ,
,,,,,,
,,,,,,
"Have previous experience in ALEK and it is not a very good program, at least for me. ",Very well done! Can't wait to meet with her again!,"Got to be a little long, I think spreading some of the sessions in the ballroom out would be good ",More time with figuring out flashline and online resources ,Meeting new people ,Success! ,
,"I had a wonderful experience. There was trouble with getting me into one of my classes that I need for my major, but they worked through at made sure that I got into the class that I needed. They took into consideration that I'm a commuter and made sure my classes were at good times. They also took into consideration that I had all my core credits done and that I needed to find ways to make up credits and helped me find classes that I really want to take. They also sent me information about getting involved on campus, studying abroad, working on campus, and everything I said I was interested in. I am extremely satisfied.",,,Advising! DKS is my third orientation at Kent State because of CCP. All the information was old news to me. Advising was the best part because I'm excited to finally start taking some classes for my major!,"Find my passion, work hard at it, but also sit back and enjoy the college experience.",
"Instead of having a specific due date, maybe just state that it needs to be done before DKS.","We are offered some arts courses as freshman, but the advisors never gave us the list.",,,,,
,,,Residence halls ,Meeting new people ,Be an outstanding individual,
,,,,,"A hope I make a lot of friends, get good grades, and have an okay time transitioning from high school to college!",
,,,,The social events in the evening. It forced me to branch out and make new friends. The down town tour was my favorite part.,My very best work.,
,My adviser was very helpful and encouraging. She helped me to see what I needed to take in order to graduate in four years and helped to make sure the classes fit in my schedule.,,,Learning about the different programs and opportunities at Kent.,To maintain academic success while finding your purpose and getting involved.,
,,,,,,
,,,,,Go to classes to be successful,
"When the calculator was available for a problem, it was not extremely obvious.  I think I may have attempted some problems without it when it was available to me, because I didn't notice it until I was more than halfway through the test.",,,,"I loved the opportunity to relax and mingle at the end of the first day.  I met some really cool people who happened to be playing Mario Kart at the same time.  We decided to go bowling together and then talked after in the seating area in the residence hall.  Being able to get to know other people and having lots of time to do it really says a lot about the value placed on building a strong Kent State community.  Kent State was my second choice of school, but after DKS, I knew that I picked the right place for me.","To improve my abilities, to be open to new ideas, to take advantage of every learning opportunity, and to become an independent and overall better person","DKS was a little exhausting but well worth every minute!  The Flash Guides were extremely friendly and helpful.  I was very happy about my choice for college before DKS, but after was when I felt myself become truly exited for the first time.  I can't wait to become a part of KSU!"
,,,What the class experiences are actually like.,"The advising experience, as I felt like I learned more there than most of the rest.",To do well in my classes and participate.,
,,,,,I believe it is expected of me to give it my all and work hard academically,
,,,,,I believe I am expected to discover my purpose throughout these next few years while getting involved in groups with similar interests and goals as mine.,
,,,,,To learn and find out how what I want to do in the world is meaningful.,
,,,,,Academic success as well being well equipped to handle problems,
,,,,,Have pride in yourself your school and the world around you. ,
,,,,,"Do well academically, find my place at the school and push myself to find my purpose while heading in the direction of my career goals. ",
,"My advisor was very kind and listened to my thoughts, and what I really wanted. She gave good advice and was very patient with me. She also answered any questions that I had with a big smile on her face! ","I loved all of the different aspects of the program! They covered so many topics especially some that I didn't even think about, so I think they did a great job!",1. Getting around campus.  2. What a good schedule is (how much time in between classes).  3. Having a car your freshman year.,Getting to meet my roommate was the best part because she is absolutely amazing and I hope to become best friends in the fall!,I believe I'm expected to take pride in my school as well as work hard to get good grades and make sure to also have fun and take care of myself. ,DKS was amazing! I LOVED it!
N/A,,,Financial ,The flash guides ,Find your purpose of being there ,
,,,,,To study hard and be involved in my campus  ,
,Advisors & students helping with scheduling were extremely knowledgeable & helpful. Thank you Happy,,navigating campus efficiently ,meeting with my advisor,achieving academic success while also finding my purpose ,
"The assessment was confusing, demeaning and complicated. I think it would easier to rely on ACT tests like for the English. ",,,,Talking to the flashguides and meeting with my advisor ,Involvement and achedemic success ,
,,,"Less time on the ""first lecture""",I liked breaking in to college houses and talking with those students. ,Responsibility and Accountability ,
,,,,My favorite part of DKS was the flash guides stories because I thought that they were very informative. And allowed me to know more about what to expect in college.,"I think it expected of me to be in my classes, do the work, make the grades, and have a good time while I accomplish great things.",
,,,,,Overall doing my best to succeed at Kent. ,
,,,,,Well according to DKS I need to go to class,All of DKS (accept scheduling) could have been condensed into an email and I would not have had to spend 48hrs and gas money on something that mostly wasted my time by not only repeating the same information all day but lacking in substance from the beginning. Also I am severely disappointed with the summer assignment. I do not need to read a book and write a paper in order to acclimate well to new surroundings.
,,,,,To do the best that I can and continue to grow each experience I have at Kent state. ,I didn't enjoy my experience because I never met my roommate she didn't stay in my room. It was pointless for me to stay because I didn't get the experience I was expecting to get because I slept in a dorm room alone. There should be advisors checking rooms making sure everyone is where they need to be. 
"I would say, double check your links, please. The Foreign Language placement test link was frozen, resulting in you being looped through a ""which languages are you interested in?"" questionnaire, and never leading to the actual test. I ended up having to email a staff member who was fantastically helpful and very punctual, but having a working link would be ideal. Happy ","More time would be nice, but I'm thinking that that's something we're supposed to look into ourselves, for later, I guess. Otherwise, it was very helpful, and I greatly appreciate their time and dedication! ","I want to thank Officer Noles and all of the people in the Student Conduct and SRVSS office for handling such tricky topics so well. As a home schooled/online schooled sheltered girl, it's very easy to be scared and uncomfortable about certain topics. It's easier to ignore and forget for people like me, because it's hard to think about, but you guys did an amazing job of being frank and open and very, very welcoming and loving to all of us. You were great at not being scary or worrying or ""just deal with it already""; you faced the problem and gave us so, so many solutions and resources.Thank you all for your work. Flashguides (GOLD AND BOLD, ALL THE WAY!), keep being awesome. ","None that I'm aware of, as an incoming Freshman. More information on how to become a Flashguide would be pretty cool, though! ","Oh gosh, that's like asking which breath is my favorite. You people did a fantastic job altogether; you kept it moving so it didn't get boring, and you kept it (usually) exciting or funny. Jan Leach's lecture was hilarious if only because she's so dang lovable! All the people are amazing, and I can't even pick a  favorite moment. The Flashguides were easy and super fun to talk to (and dance with!), and everyone - I do mean everyone! - was so welcoming. Thank you for everything. ","What I expect from me is my best. My best attitude, my best effort, my best thoughts and words. Hopefully, that's what others expect as well, because that's what they'll get.  ","Can I just rave some more about how fantastic this was? The size of the student body at DKS was perfect; a good ""starter pack"", if you will. I felt comfortable without being crammed, and the diversity was pretty cool. The speakers were all very good, the Flashguides (Gold team shout-out yet again) were EPIC, and I loved it all. Can I do it again? ;) "
,,,Getting around campus,Evening social activities,"Get involved, take control of your education ","Sitting and listening to different people talk for 2 hours straight was really boring, I feel like it could've been broken up into smaller chunks."
,,,I would have liked to walk around a little bit more and see the whole campus. ,My favorite part was the night activities where I was able to meet people and make new friends that I have continued to talk to since leaving Kent. I also really enjoyed the time spent with one of the flash guides when he took us to downtown to get insomnia cookies. ,As a Kent state student I am expected to make the grades and truly work hard for what I want. But I am also expected to make time for myself and have fun by getting involved in the many clubs at Kent. ,
,The students assisting with the academic advising were beyond friendly and knowledgeable about what they needed to help the incoming students with. It made the process a lot easier and less stressful.,It was very informative and interesting. It was one of the few talks that the speaker made their audience want to really listen to what they were saying.  ,I think adding more ice break type games would be good. I noticed there were a lot of kids who were sitting by themselves at times. I think the ice break games might break them out of their shells a bit and talk to new people who they usually wouldn't because they might end up being friends. It's a small push they could lead them on the path to finding their friend family at Kent State.,The free time at the end of day 1. I had the chance to go outside and play 4 square with a few kids. I got to play one of my favorite childhood games with complete strangers who had a common love for the game. We ended up playing from the start of free time to the very end. ,"To strive to be the best I can be, while doing what is right and just. To achieve that you have to find and surround yourself with people who will help you and be there for you.",
No,Very helpful I got the classes I wanted,Thought it was good,Nope ,Meeting new people ,Showing school spirt and getting good grades,Great weekend 
,,,,My favorite part was the flashcard stories and getting to meet people going for the same degree as me.,To get involved in the school and to be successful.,
As long as the website works to give the scores it would be great,,,,Evening activities and meeting other new students.,"In short... Don't do things that would be considered a bad idea and/or illegal, and try your best to do well.",
,,,"Where to mail out things, printing fees, and more about the bus system.",Forming a schedule with my advisor.,"Do my best in classes, find out my life purpose, and get involved.",CJ was the funniest flashguide.
,,,,,Good grades gets you far,"I don't know if this was mentioned anywhere, but I did not know that sheets and towels were provided at DKS. "
,,,,,,
,"My Academic Advisor, Rachel, was fantastic. She made me feel so comfortable while talking to her as well as making me excited for this coming school year.",,"I think it would be useful to add one or two more sessions where students would be with other students from their college, rather than sitting in a large group of students from many different colleges.",My favorite part of the Destination Kent State was a tie between meeting other students in the College of Communication and Information as well as scheduling my classes and meeting advisors.,To reach your goals and graduate within 4 years.,
Inform students that grading is not out of 100%. ,,,,I liked getting to experience the dorms and meeting with the advisor. ,To succeed academically and find a place in this world. ,
,,,,Every second with the flashguides were the best! They made me feel welcomed and definitely made me more comfortable. I would say my favorite part was the little party at the end of the night where I got to meet new people and hang out with the flashguides,To give it (everything that is college) my best and have fun while doing it. ,
,,,,,,
"No, the placement assessment went very smooth without problems.","It went very smooth and it was very fun getting to speak with unacademic advisor, and hearing their excitement when scheduling was very calming.",I learned a lot about what is expected of college students. DKS really showed me that I belong at Kent. ,"Describing the flash card, what it does and flash perks. It was kind of confusing when we briefly talked about them.",Hearing the experiences of the flash guides. It really showed how you are able to change the life you live if you try.,"To be the best student that I can be. To strive for excellence, never giving up in the process. ","The link that was sent in the Confirmation email for DKS, had guide for destination Kent state, but it was not working when I tried to go on it the night before. Also, the technology link that was given to his was also not working. We were told to go to this link to see which computer our major or minors required us to have, but every time I went on the link, it was not working."
,,,,The energy of the Flashguides facilitated an open and friendly environment for students to get to know each other,My full academic effort along with mature and responsible behavior,
,"It helped me to understand the process of scheduling classes and become more acquainted with the uses for my flashline account. Additionally, I was able to receive recommendations for Kent Core courses based on my specific interests and aspirations.",,,I particularly enjoyed learning more about my college and getting to meet other students in that college.,"To give my very best and be open to learning more not just in the classroom, but through my environment and others who are different from me.",
,,,Spend more time on tutoring and on campus jobs. ,The night time activities toreally bond with other students. ,Academic excellence ,
none.,none. ,none. ,navigating through flash line ,being able to go to downtown kent and see everything that's there ,to be academically successful and to be involved ,
,,,,,,
,She helped me a lot and even scheduled out all 3 years I will be at Kent,It was nice and I got a lot of information.,More break or relax time. ,"Exploring Downtown, talking with the flashguides, the food and the end of night party. ",To do my best in school and to be involved to have a good time.,Had a great time and can't wait for the fall. 
,,,,Getting to meet new people,To graduate in 2021,
,,,,,,
,,,,,,
,,,,,To keep up with grades while getting involved,
,"There were some issues coming into the advising, regarding the school I was in and my major. That was easily fixed thanks to my advisor. ",,,,,
,,,,My favorite part was just being able to talk and bond with other students.,To be the best I can be at what I am doing while exemplifying positivity and drive.,
,,,,,,
,I was pleasantly surprised with how well it went. The advisor spoke to me more like an equal rather than a client and I felt a genuine sense of them actually wanting to get to know me!,,,Meeting with my advisor and the experience of actually staying in one of the dorms. I also appreciated the free time we had to explore downtown.,Be myself and no one else. Create my own little home wherever I go. ,
Allow more means of preparation ,Very helpful ,,Touring campus ,Being able to explore downtown ,To do your best no matter what,
,,,,Hearing the flashguide's stories.  ,"To succeed in academics, get involved with the community, and make my impact on the world.",
,"The person I had was not an academic advisor, and she was not in that department at all.  Although she was good, I would have felt better and more confident with an actual academic advisor. ",There definitely needed to be more time spent here.  It was very rushed and we had almost no time to fill anything out.  I ended up having to finish my papers very late at night and very early in the morning.,More time on the Registration Prep.,My favorite part was the Keys to College Success.  I really liked when they broke us up into groups based on our college and we got to know eachother better.,To do good with school work and also represent the school well.,"The ""Your First Class"" thing was very long and seemed to drag on.  The professor was very, very good, but at this point in the day everyone was exhausted and I just felt like the section wasn't really necessary and the time could be better spent elsewhere."
,"There should be an online orientation for students who are not fresh out of high school. My daughter is 14, and if I were to bring her to DKS in a few years, I feel the program would work very well for her. However, for people who have been working for years, or raising families, etc. there really should be a program that works for them. ","    This program I believe works very well for young students, including those just out of high school. For me, this program was inconvenient and ridiculous. I could not attend the program until a month after I started classes because of other responsibilities and program availability. Please consider creating a separate program for adult students.",,,Pay the bill.,
,,,Finding classes after scheduling ,Flash guide stories ,Be respectful get involved and just enjoy your time ,
None at this time.,None at this time. ,None at this time.,Talking about students with special accommodations or needs.,"Meeting the flashguides. All of my flashguides were awesome, but especially Bella!","I believe being a well-rounded, motivated, and empathetic person.",Bella was an amazing flashguide!!
,,,,,,
,,,,,,
,,,,,,
No,It was very professional and done in the quickest manner.,N/A,N/A,My favorite part was flash guide stories because it was interesting listening to individual experiences.,"Striving to do what I love, with people who are positive influences in my life.",N/A
,,,"Yes, more time should be placed aside for the actual scheduling of classes. As I  stated earlier a parent should be involved in the scheduling process so that they may ask any questions incoming students would not think to ask about. ",Meeting with my Academic Adviser.,"I believe that as a Kent State student, I am expected to put forth my best effort in the classroom, and to explore different avenues outside of the classroom such as clubs,sports, and activities to better enjoy my time at KSU.",
,I really loved how my advisor gave me the break down of my time at Kent and he answered all of my questions.,,Explaining different areas on campus.,Meeting with my advisor was my favorite part. All of the nerves I had about my studies were relieved. ,"I believe that I am expected to not only learn in the classroom, but learn outside of the classroom.",I had fun going to Downtown Kent.
,,,How to make new friends ,The singing party before bed ,To be as good as I can be and to achieve my goals ,
,,,I think there should be more time for ice breakers and activities like that. ,The Flashguide Stories and asking Flashguides questions was my favorite part. ,"Pride in my school, and finding myself as a student and individual at Kent State.",
,,,,,I believe that doing you absolute best in your courses is expected.,
"If you have problems logging in with one internet browser, try a different one. ",,,,,Be yourself and be the most successful you can be,
,"The flashline page on the computers stopped working so it took a looooong time to get scheduled, I was one of the lucky ones who had a working computer but it still took me a long time because I had to wait on everyone else. But, I really liked how they showed me how flashline works because I was quite unfamiliar with the system ",,,Meeting other students,To be successful,
,,"The 'you're first class' session was very boring and made me discouraged for interesting lectures in college. The speaker just about put me to sleep. If he is a professor at Kent and I have him as a proffessor, I will definitely be getting out of that class. He lost his train of thought throughout the presentation and rambled on for what seemed like hours. ",,Meeting new friends and getting to know the current students who share the same major. ,To succeed,
,,,,"""ask flash guides""","To set goals for myself, and strive to achieve them. Stay dedicated, self disciplined, and organized. ",
No,,,,,A lot,
N/A,N/A,,,,,
N/A,,,,,,
,,,,,Try my hardest  ,
,,,,,To find your purpose and be happy doing it.,
,,,,,To do my best.,
,,,No,Dining time ,Acceptance and effort,
,,,,Talking to flashguides,Do my best! ,
,,,,,,
,,,I think that maybe a scavenger hunt would be cool so that the students would learn to navigate campus by themselves or at least without a guide. ,"I really loved everything about DKS, but my favorite part was being able to talk to the Flashguides about things we might not feel comfortable asking in larger groups. ","I believe that hard work, dedication, and happiness is expected of me as a Kent State student. ",
,,,,,"Involvment, academic success",
,My advisor Natalie was awesome!!!,,,I really enjoyed exploring Downtown Kent! It allowed for us students to connect with each other without being ushered from lecture to lecture. ,I believe I am expected to uphold the reputation set before me and strive for excellence. ,
,,,,The Flash Stories because they helped to further understand what to expect and what to do when I get to college. ,"To succeed, get involved, and enjoy school.",
,Hated every second. Treated like I was stupid and wasn't able to sign up for classes I wanted,,Too long of a program,I hated every part of it,Succes,Na
,,,,,Participation,
Try explaining how the scores work in placing the student into a math class a little more clear because the results are slightly confusing ,,,"Housing experience, like having the students attending DKS experience how housing would feel like when they move in the fall i.e. meeting people in your dorm hall, meeting with an RA etc. ",Getting to meet other students that would be attending Kent State with me in the fall ,To be an active part of the university while keeping up with my academics,
,,,,,,
,I believe that the university does a great job on helping students when it comes to academic advising. For a students who struggles with academics they don't have to do much if they are seeking for help. I am a student who will be seeking academic help next year and I know where I will need to go to get that help. I believe that the Faculty does a great job with this. ,,Showing the upcoming students which halls their classes would be in.,My favorite part of DKS was getting the experience to meet new people and making memories.,To get the best experience out of college as you can,
N/A,My Academic Advisor was very kind and willing to help.,N/A,Tours,Scheduling and the social hour,"To succeed in what you do, love what you do and do what you love passionately. ",I can't wait to move in this fal!!
,,,,Scheduling classes and meeting with an academic adviser.  It was good to get it finished and take a look at my road-map for my four years.,Perform well as a student and a as a person.,"I was annoyed with the peppiness of the flashguides, and having to play games.  It made it feel like I was attending an elementary school summer camp. "
,,,,,,
,,,,,,
No,,,,I loved everything about the program. It's hard to say I had a favorite. Everything was informative and made me feel less nervous for fall classes by the end of the program. ,To achieve all I can and to use the many resources offered to help me become successful.,
,,,,,-,
,,,,,,
,,,,The Flashguide stories were very nice and it made me feel like I got to know them better. They were all very open and helpful,To not only be a good student but to be very involved in campus activities ,
,,,,,find who you are   take class seriously   ,
,,,Need information session on Fraternities and Sororities. ,Gtting to know the flash guides gave me a good feel about the transition time. ,Do well in my classes so I can graduate on time. Get involved. ,
,,,Campus tour perhaps.,,To give my all and give something back to the college as well as learn all I can.,
,Meeting with the student advisors was confusing. Getting to see my advisor cleared everything up schedule wise for me.,"For the advising and registration prep, it was very rushed for picking what classes we wanted to be in. That is a very important choice one has to make and one should be given ample time to do so.",The registration prep ,"Talking and scheduling with my actual advisor. She answered all of my questions, took her time, and made sure I had the perfect schedule for me.","Be kind to everyone, utilize your resources, get involved, and work hard to achieve great grades.",
,,,,,To be responsible but have fun and get involved ,
,My acedemic advisor was great and it seemed that he had a interest in my future. ,,,,To get my degree with experience in the field.,
,My academic adivisor was great! She was super helpful and nice and I am excited to visit her for help next time !,I don't have any,No,Meeting my roommate and making all these new friends ,Be the best I can be and never give up ,
"For the math assessment, make some of the graphing interfaces a whole lot simpler.",My academic advisor want not present for my advising appointment.,n/a,n/a,Being able to connect with the Flash Guides and being able to meet new people before first day of classes.,To be involved around campus and discover who I am as a person.,n/a
,,,,The flash guides were very helpful,Do the best i can,
,"I understand that there were many people there and advisors were busy, but I would have liked to meet with my actual advisor.",,"Possibly add more on the student success programs, where to find them, and how they have benefitted other students.","My favorite part was the academic advising part.  Although I didn't meet with my actual academic advisor, the one I did meet with provided a lot of information and many options for me in the career path I want to take.",I believe I am expected to be a contributing member to the Kent State community.,
,,,,Scheduling ,Succeed while having fun,
,,,,My favorite part was being able to schedule my classes and get them done and out of the way so early.,"I believe that as a student, I not only need to be stong in the classroom, but also an active member of the community.",
N/A,N/A,,,,,
I don't like it being like a at home type thing. ,,,,,,
,,,,,,
Tell students they can use scrap paper on math,,,,,To succeed and find their way as an individual,
"No, I thought it was very easy to navigate and to figure out. It took me probably less than five minutes to figure out how to take the test. ",The nursing academic advisors are AWESOME!! They were so helpful and informative I didn't even have any questions after speaking with them. Truly great people to work with!,N/A.,"Definitely talk more about where to buy books and how and definitely try and show specific differences between college and high school. Not your typical ""teachers don't care if you come to class or not in college."" Try and explain some things students may not know.","My favorite part was the evening social activity because I (finally) got to be away from my parents and actually branch out and put myself out there and make new friends. I actually met a lot of cool and interesting people and stepped out of my comfort zone and it was totally awesome. Plus, the flash guides really did make everyone feel included and like they belonged there. I also really liked the guided walking tour downtown because it showed me a whole new side of campus that I didn't even know existed.",I believe I need to find my passion and work as hard as I can to make a career out of that passion while using all the amazing resources and opportunities Kent Stare can provide to me.,"The flash guides were incredible, they were so inclusive of everyone and they did a wonderful job at making everyone feel welcome and less awkward and nervous!"
,,,,,To make the most out of your time there.,
Everything went well!,,,,,,
,,,Icebreakers for incoming students or more student involved activities ,Exploring the campus,Be the best that I can be,
,"There should be more time allowed to do this. In a few cases, people often sat and waited for 2 hours to even begin to look at their schedule. It's understandable that it takes awhile, but it should've been done differently so everyone was dismissed at once. Not everyone drove themselves, we often had guests. ",,More touring of the campus. It's hard to learn our way around a campus that we're always escorted on ,,To succeed and be who I am ,
,My academic advising counselor was very helpful during the one-on-one session. I had a few questions and he was able to answer them all throughly and made me feel more confident for coming into classes in the fall.,,,,"To before anything, achieve good grades, but also to apply yourself in other areas beyond the classroom, including socially in order to be a well rounded person before graduation in four years.",
,"My academic advisor Mary was amazing, knowledgeable, and genuinely cares about each individual student and shows it.",,,Getting to know everyone!,Work hard and have fun,
,"Really liked my advisor, gave great advise.  I felt like he was very interested in my future  ",,,advising and scheduling,To start building my resume from my freshman year  - to get involved in Kent and my interests not only in my studies but in hobbies as well,
,,,,Advising and spending time with people with the same major/college,Find your own sucess,
,,,I think we should do more icebreakers. ,"meeting my new friends, getting to stay in a dorm room and talking to the flash guides. they are awesome!!","I believe that as a Kent State student I am required to do my absolute best and nothing less. I am expected to come to class, support our sports teams and have spirit, and ask questions. its important that if I feel lost or have any questions, that I never hesitate to ask.",I had such a great time at my DKS. I am very honored to go to this amazing university for the next four years. Go Flashes!!
,,,,,To do my best and try to branch out and grow. ,
,,,,,,
n/a,n/a,n/a,n/a,i enjoyed meeting new people. ,to do my best and to get involved. ,n/a
,,,,The trio to downtown Kent ,To always push myself to be the best I can,
nope,,,how to find your way around,talking to the flash guides ,Being a good student and activity participating in all parts of campus life,
,,,,,,
,,,,I really enjoyed the scheduling process. It was nice to have a graduate student make the process less stressful.,Gain more knowledge and use my college time wisely,"Please tell students to bring foam matts for mattresses, they are not comfortable! "
,,,,,,
,,,,My favorite part is when we had our freshmen class come together and talk to the flashguides in the ballroom. We discussed things and played games. I enjoyed it a lot!,To abide by the rules. To attend class and work hard towards my education. To attend events and make a group of friends!,
Impress the how important it is students take it so that they do not forget to do so.,,,,,To do my school proud,
,,,"I didn't know I was supossed to get my flash ID card on my own time and I never had an opportunity, so it would have been nice to know that right when I got there",,"To contribute to the campus, be a good student and flash.",
Try to explain some of the questions on the tests better?,My advisor was very helpful with trying to work around everything I wanted on my schedule. Great Job!,This program provided almost all the information before I met my advisor. Just if they could've explained more about how are schedules are put together.,Giving some free time to the entering freshmen so we can explore downtown after lunch instead of putting us in more programs immediately.,"Hearing the personal/embarrassing stories by all of the flash guides, as well as the Q and A on the second day.","being a part of Kent State and showing the world what Kent state is and helping keep up that standard by being involved on campus, achieve academically.",
,,,,,A strong pride in my work and pride being a Kent student,
,,Much longer than expected. Frustrating.,Going around the campus.,Meeting new people. Flashguides. Being on campus. Some of the presentations.,"To use my resources, and participate to the best of my ability.",
,,,,,do good in my classes,
,,,Maybe about books and where to get them more ,I loved DKS it is very helpful and allowed me to to get a feel for the campus! I loved walking downtown and taking the tour as well as the little party at the end !,"Find you're self along the way to go out of you're comfort zone some and explore new things, meet new people. Take every chance you get to make new memories.",
"The foreign language placement assessment froze up at the end so no students were able to figure out if they were truly done, as I've heard it from many people who took it.",,,,The evening activities because we danced and got to talk to all sorts of people.,"Become academically successful, but also finding your place at Kent State and in the world.",
Take your time and try your hardest. ,None ,None ,"Campus tours, to help understand the campus more. ",Evening activities ,To make this place my own. ,I think it would be better to split up the lecture sessions to keep the crowd engaged. I just thought it was tiring to listen to those talks back to back to back. 
,,,,,To work hard and be a proud Kent State student ,
,,,I feel like finding out which resident hall you will be staying at before DKS would be really helpful so you can practice walking from point A to point B ,I loved getting to know the class of 2021 and the flash guides! They made my experience amazing!,"To not only succeed academically, but succeed at a person socially and emotionally",
,,,,The flashguides and how friendly they are. ,To be a well rounded person that gets involved at Kent. ,
,,,,,Success,
,,,,,,
Telling the students right away about the modules so they could possibly get them done before destination Kent state and not have to worry about changing their schedule ,,,,,To push the boundaries and excel in all I do ,
no,,,,I loved the Flashguide stories. All the flash guides were extremely helpful and they just allowed me to feel very comfortable overall. ,To be a passionate individual who is focused ,
,,,,,To put forth my best effort,
unnecessary because I had college credit that took away my math credit anyways but I still took the placement test,,very overwhelming for nursing. ,no,"any time with the flash guides, most of the big presentations were very boring and something I felt only parents cared about and my parents didn't even come with me so I zoned out a lot.",to try my best get involved and enjoy college,
Don't do so many presentations. It makes the students and family/guest bored. ,,,,Learning about studying abroad ,"To show up to class, listen and do my work",
,,,,,"Be responsible and work hard, but also have fun, get involved and make the most of your time in college",
