OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,DestinationKentState,anyAdditionalComments
,,,Being interactive.,More about what each residence hall has to offer. ,The party at the end because it was lit and everybody had a google time with each other.,
,,,,,,The choices of food could have been better. There should have been food available for the students as the night came on. The studio arts college focused way too much on fashion and none of the Studio Arts and it’s caused my father to feel the need to walk back to the student center to make sure I wasn’t in the correct major.
"Very long day and too much sitting on the first day. The residence halls were extremely hot when we arrived and when we left, they never cooled off. ",,,,,,
N/A,I like how they really work with planning the perfect schedule for you. ,N/A,Having more activities during day. Not just sitting and listening to letctures. ,N/A,The going down town and hanging out at the hub. ,N/A
,,,Small group activities,,Going downtown. It was fun to be out and on my own somewhat.,
,,,,,,
,"Once again, I feel that an appointment with the academic advisor should have been earlier in the program because I was incredibly anxious about scheduling classes and such beforehand. ",None. ,,,"The advisor meeting was my favorite part because it put me at ease. Before, I had no clue how to schedule classes or what I needed to take but my advisor was easygoing and explained to me what I needed to do. Very satisfied with that part. ",
,,,,,,
,,,partner activities ,,,
,,,,,,
,,,,,,
,The adviser for my major was not on campus during DKS and so my advising appointment was with a stand-in adviser.,,The group of people majoring in the same subject as myself being higher,,The Flashguides were super friendly and helpful.,
,,,,I felt the DKS program to be solid on all fronts and see no reason to change from the current way of doing things.,Getting to know the Flashguides!,
Perhaps provide more information on what my score means. I was unaware that I had passed the assessment. ,,,,,,
,,,,,,
,,,,,,
The learning modules are only available after the test. For me having something like that to review before hand would have been very beneficial. I also think it would help future students as well , Meeting with my advisor put me at ease. I was very worried about starting in the fall. She was so nice and welcoming ,NA,I ended up meet people by accidentally getting lost together. The games helped too to break the ice ,I think I was given all the necessary information but it was a bit overwhelming , Being able to walk down town with the people I met ,
,,,,,,
,,,,,The welcome we were given and all the support offered. ,
,,,,,,
No,,,,,,
,,,,,,
,I felt like I couldn’t talk without being interrupted ,,I’m not quite sure ,More time with our specific college ,The food was really good ,Please consider having a separate orientation for those who have done CCP at Kent’s campus 
,,,,,Personal relations professor session. I really liked her. ,
,,,,,I liked being able to see the campus and downtown area a lot. I personally like to know the city I'm stating in so being able to walk around on my own and explore was cool!,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
No,,,sitting next to them and when we split up into groups with our colleges and a flashguide,"Overall campus tour, I feel as though we only saw a very small part of the campus because all of our activites were close together","Doing it with my parent, they saw what I saw and were as equally impressed with the university as I was.",
I did not need to take the placement tests based on my CCP credits.,"I expected it to be very personalized since we were at Kent specifically for this, but then I had issues with my schedule and didn't even understand it until later because I was so rushed.","Some of the sessions seemed unnecessary, I feel like I could have gotten the information on a flyer rather than sitting for so long. Honestly most of the incoming students zoned out, looked at their phones, or even fell asleep in the ballroom because we sat their getting information for so long. Also, it was nice bonding with people at night but I feel like if some of the sessions were more concise we could have made it a one day event. ","When we went to lunch without our parents I was nervous that I didn't know anybody, but this was good because it forced me outside of my comfort zone and I became friends with the people I sat with to eat.","A lot of my friends at other colleges played more ""team bonding"" kind of games. Also more interactive seminars would keep our attention better.",My favorite part was making some friends and connecting with the flashguides.,I had a better experience with DKS than I expected and it got me excited for next year. I would love to be a Flashguide next year!
It's hard to use mobilly. On the computer is great,The academic advising was by far my favorite part. It's exactly what I came there to do. It's the person I wanted to talk to ,,,Getting around campus. Especially because of construction,I really liked the flash guides. There stories were cool and they really helped me and everyone out through the experience and made it comfortable as well,
,,,,,,
,I wish I was able to speak with my actual advisor. ,,Play games that  help you learn more about other students. ,Spend more time on helping students learn their way around campus.,I enjoyed the free time we had at the end of the first day. It wass fun playing volleyball and talking to other kids I met.,
,,,,,,
,,,,,,
,,,More interaction with each other. ,How to get books and supplies and a more general overview of campus for people who do not go on the walking tour. ,"I roomed with a girl I had met through the Schools App and we had so much fun and real, genuine conversations. ",
,,,,,,
,I loved the Flash Guides!,,being split into smaller groups and maybe playing icebreakers within thee group. ,,,
,,,,,,
,,,,Locations,Getting to explore downtown Kent and hanging out with people I became friends with ,All the flash guides were helpful and very welcoming 
,,,,,,
N/A,I wish my advisor was a professor/worker of my major instead of a student. They could not thoroughly answer my questions and concerns.,N/A,N/A,N/A,N/A,N/A
One quick online test is not indicative of how you will do in a class.  ,,It is much too long.  Can be shortened to one day.,Smaller groups,,Everyone was friendly and helpful!!,
,,,,,,
,More interaction,Basic ,Just played card games together ,Where things are ,The end party ,Very vanilla experience 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,The Flashguides were very helpful and fun.,
,,,Pairing up people to talk,,"Walking downtown, we got to see that area and got to know how to get there and talk with friends ",
,,,Just being able to sit down and talk for a bit. Also just having some quiet time to get to know people.,Spend more time exploring the campus and the more social aspects of the school. ,Being able to see what is around the campus and getting to see what places are around.,It was good to be there but i just wish there was a time in the day to just rest and give my brain a break. The information dump of the first day made me exhausted and gave me a headache that lasted most of the day.
,"Once I reviewed classes with my advisor and he took me to the computer lab to schedule my classes, I sat there for 5 minutes in silence without instructions. I was told to sit and that was it. No ""hi my name is,"" ""presentation will start when more people come,"" ""we will get started in a minute"", or ""login to your flash line."" I just sat and wondered why I was even there. ",,,,,
,,,,,,
,,,Something would have helped was more ice breakers to slow down and push away any nervous and scared feelings we all had coming into the program.,N/A,Our finish the vine ice breaker with Thomas. I loved it because it was able to show all of use have one huge common interest and it can be fun and relaxing.,N/A
,,,,,Hearing stories from the flashguides,"Please make water more accessible throughout DKS instead of only at meals, I was very thirsty "
"My senior math course was not related to trigonometry or pre-calculus, I had taken AP Statistics and therefore was not as knowledgeable about subjects on the placement test. It may be useful to include a various amount of math subjects. ",,,,,,
,,,Smaller student-based activities rather than everyone at DSK that day ,Do optional campus tours of places like the library and Rec center; the student center was the core of the entire day and a half and I would have liked to see more of the campus,The program was well put together as well as on time every time. I made a handful of new friends I hope to take with me through these next few years.,
,,,,,,
a lot of the presentations were useful but there were a select few that put the whole audience to sleep. especially the hour long public relations presentation that had nothing to do with destination kent. i had a great time but would prefer that all the presentations had a purpose to make the long day go by quicker and more organized ,my academic advisor was amazing she should not change a thing! ,,,,,
Allow students to see their scores immediately after completing the assessment to ease stress and possibly encourage them to reassess for a better score. ,Completing the earlier appointments before moving onto the later appointments.,,More socializing time during the day instead of it all taking place at night.,When separating into different colleges I would have enjoyed being able to explore the section of campus the majority of our classes will take place in. For example: college of arts and sciences explore the science wing.,Campus tour and outside activities. Students and parents were able to get up and walk around to explore after a long day of sitting. ,The sessions could have been planned differently to allow more time in between.
,I loved the presentation and the presenters! I hope to have them as professors. ,,If we weren’t so scared to talk to each other.,,The academic success class and the advisor meeting. I liked the engagement in the class and I loved Laura my advisor for Fashion Merchandising.,
,,,,,,
,,,,,Flash guide stories. They told us about their struggles and how it didn’t let them stop them and neither should ours,
,,,,,,
"This was a very fun experience. The only thing I would suggest is maybe have a couple of more breaks, there was a point in time where there was a lot of talking and a lot of info being thrown out. But other than that everyone was super helpful and I can’t wait until the fall! ","After I looked over my schedule more I noticed I didn’t take a math or English in my schedule, I’m assuming that is okay since the advisor did not say anything but maybe be more clear about how and what classes to take. Again my fault for not looking over more to ask questions. ",,More activities like when we split up for our colleges. ,,"The evening gathering was really fun, it gave us a chance to talk and get out of our comfort zone and have fun together as a whole. ",For the evening gathering I would break up the trip to down town and the gathering times up. They happened at the same time so it was hard to do both and by the time we got back from downtown half of the gathering was over. 
,,,,,,
,,,more smaller group icebreakers,,,
,,,,,,
,,,Too many students per flashguide,Too many rushed topics,"The ""first class"" on day 2.",
,,,,,,Plastic water bottles would be much appreciated. 
,,,Working in groups where we had no choice but to work together.  ,,I liked the times when we split away from the parents because it helped us meet new people that we will be going to school with.,
,,,,,,
,,,,,,
,,,Smaller group activities instead of large scale icebreakers,,,
"Some of the tests seemed to be on separate platforms/websites (not sure what to call it), maybe make it all on one respective platform so the testing style remains the same","My advisor was extremely helpful, friendly and personable. I could tell that everyone there had our best interest in mind and were excited to help us start our next journey in life.","Destination Kent State was an amazing opportunity to get nerves out for college, meet new people, and learn the most you can about college. It was truly an incredible experience.","I feel like if we would have had more opportunities to connect with students in small groups it would have helped us branch out more. Many kids stuck with familiar faces, which is understandable.",Maybe tips from current students on how to navigate the campus. Or keep track of frequent questions asked by incoming students and utilize those at DKS when the crowd can’t think of any.,"I loved DKS as a whole. It created a very friendly and inviting environment for incoming students. My favorite part was getting to explore the campus and downtown during our free time, which allowed for time to get to connect with other students.",
,,,I made Plenty,,Just conversing With others. ,
,,,Spending more time with a consistent group of people.,,,
,,,,,,
No,,,Putting myself out there more,No,Exploring the campus at night ,
N/A,I think meeting with an Academic Advisor definitely helped to sort out all the ideas and bring to life what I want from college.,,"I scheduled my DKS with two of my friends from home and they are rooming together next fall. However, since my roomate didn’t come till later, I had the opportunity to room with someone else for the night and we spent all of DKS together which made it so I branched out and met some others who weren’t with prior friends either.",,"Honestly, my favorite part of the program was getting to talk to the Flashguides. A friend I had met at DKS sat with the Flashguides during meals and we got to have a conversation with them about anything and it definitely made the entire experience a lot more fun .","I think it was such a great idea to bring Flashguides along into DKS. Like I said not only did I get to met some of them and connect with them, we got many questions answered by them. I think DKS was overall a great orientation and I honestly want to be a Flashguide in a future year."
,,,,,,
,,,More facilitated ice breaker activities ,Financial aid and loans and how they work. ,,
,,,,,,
Make one for all the languages you offer,I’ve been planning my schedule since junior year of high school and she assumed I wanted to take classes I was saving for other semesters because I wanted to try to balance my course load ,,,,,
,,,,,,
,"I felt as if I wasn’t prepared enough, so maybe more in-depth “teaching” of what you need to do to go into the scheduling prepared ",,,How to get around the campus ,,
,,,,finding one's way around campus,,
,,,Overall the groups were so large and it felt like everyone hung out with friends they already had. I think randomly splitting up students in smaller groups to do activities would have given me more of a chance to really get to know them. There wasn't much time since a lot of it was info sessions.,,"The advising was really great, I can tell the advisors are excited and really want to help.",
,,,,,,
,,,,,,
Nothing helpful comes to mind but maybe an email reminder to take the placement tests around the initial deadline time could help.,It went smoothly.,,,,,"I know there is probably no other was to do it but having presentations like that back to back at such a fast rate can be overwhelming to some. Sure some lecture classes will most likely be like that in college but, it feels like the DKS program came on a little strong. And with all that information thrown at me almost all at once, I've forgotten a bit of it. Maybe just suggest that the DKS participants take notes. I should have done that... Real good experience though."
,,,More free time ,,The time spent in our actually college ,There should be more instruction for the early arrival people about the next morning 
,,,,,,
The calculator was a issue,,,,,,It was a very enjoyable experience 
No-didn’t have to take it.,"Try to be more clear w incoming freshman, that you’re not required to take all core classes first semester- looking at the list of courses to register for is overwhelming and feels that you HAVE to take all that we’re starred in a semester/year when that’s just not the case. Hope that made sense.","It was a overall just a great program, honestly. ",Just simply starting with introducing yourself and making small talk! And let it take its course!,"Where the buildings are lol. Like which building is which so that’ll help you with navigation for when it comes to classes.    To also spend more time on like clubs. I know there were the tables set up for different clubs and organizations in campus, but what I’d like to see and have visually is a pamphlet of clubs offered at Kent- like how we were given our lists of courses to refesriter for. If we had similar for clubs,’people will feel more comfortable to get out there and have a better idea of what they want to get themselves into. And we can start circling clubs that interest us just as we did with classes. This way it’s not such a total blur or not as overwhelming on how to start getting involved. This will be the official first step on brandxhing out- finding those organizations that interest you most.","Really just meeting new people! Omg did we all have such an amazing time. We have all been texting in our group ever since we all left and are already making plans to meet up again! It was great to really just chill, good off, and really bond with students you just met that day! It was A humbling experience and only highlighted my level of excitement for college!","DKS was amazing, I left on cloud 9 so ecstatic to tell my friends and family back home about my experience! Absolutely cannot wait till Kupita to meet with those I have recently met and meet more people! Like DKS really did it to me- really had me floating high in happiness. I found my second HOME and found my second FAMILY and I know it’s only going to grow. I feel a lot more prepared on what steps I have to take to get ready for the semester and overall just feel a lot more comfortable and in control of what plans I have at Kent! "
,it was a very good experience and i definitely will go to her with any questions or just to talk,,facebook and other social media ,,,
"Using the online calculator abd the buttons for putting in answers for the math assessment was a little less than user friendly, but overall a very nominal issue. The system worked quite well regardless!","My acedemic advisor was phenomenal in every way. He made me feel important and motivated, which is something I have had great difficulty in achieving on my own. I felt that he had all the information I would need collected in a way that was easy to understand, and put me at ease, knowing I was where I needed to be. Overall, my advisor went above and beyond my expectations. Just",,,,Evening social activities and your first class were both extremely enriching and helpful for me personally.,
,,,,,,
,,,,,,
,,"I really appreciate all of the talking we did about college life, but a lot of it was very repetitive. I just feel like many hours we spent listening to people speak could’ve been condensed quite a lot and we could’ve been given more time to kinda explore on our own or do some other activity. ","I made a connection in the dining hall because there weren’t a whole lot of tables, so we were forced to sit with people we didn’t know. I didn’t like that at first, but ended up meeting an amazing family. I met four other people at the night party thing with the karaoke. We all just clicked and now we’re all super good friends with one another. ","I would love to hear a lot more about studying abroad. Like, where we could go, what kind of expense we’re looking at, and what opportunities it could open up for us. ",Definitely the party because I found some awesome people I want to keep in touch with. ,"I loved how welcoming and caring all of the DKS guides were toward us noobies. When I had a question, they seemed so excited to help and answer my questions and I was thankful they didn’t make me feel dumb for not knowing in the first place. "
Very long day,,,,,,
"Nope, loved it!!",,,Not being shy/ trying to achieve a common goal,Longer break time in order to mingle more,,
,,,,,,
,,,,,,
no,,,had more time to bond before everything started ,"more bonding experiences, not just ice breakers",,
,,,,,,
,,,More time to socialize. Less lectures,,Meeting people and scheduling classes,"With what you provide, the orientation did not need to be 2 days long "
,It helped me not be indecisive and I felt like a student and person rather than just a number ,,I liked being broken up by college to meet people with similar acedemic interests,Navigation ,Meeting new people and learning about the classes I can take ,"I really enjoyed it; however, I wish it was broken up a little bit between the session a little bit more "
,,,more free time to meet others rather than being forced,,,
,,,More get to know you games ,,I loved scheduling classes,The food for dinner was not the best. Maybe offer a better variety. Also there was no food between dinner and bed time and a lot of people were hungry and had nothing to eat. Maybe have people bring snacks or offer snacks to them before they go to bed. 
,,,,,,
,,,,No,My favorite part was getting to spend time with the new friends that I made and staying up late with them.,
,,,,,,
,,,,,The flash guides ,
,"Very quick and painless, answered all of my questions to the best of their ability","I will be extremely honest, after a long day of meetings, activities, and speeches, following them up with an extremely boring presentation about ""Purpose"" was not a good move. I know that the speaker was renowned for his work in Brazil, and that he is the provost for Kent, but I don't care. When both the parents and the students are falling asleep in the audience, it's time to pack it in.",Breaking up into smaller groups based on major group (Something DKS did very well) helped immensely.,,"Getting to sit down with the Flashguides, listen to their stories, and hear some tips from them, then go into a Q&A session with them was extremely interesting and beneficial.",
,,,,,,
,,,,,,
Maybe practice before hand to prepare,I don’t really have anything,N/a,Smaller group interactions ,Not off hand,My roommate and our new friends went and got hungry howies and played cards against humanities and that was probably the most fun I had there. Also walking downtown.,
,I did not receive the KENT state shirt in the mail prior to arriving. So I felt left out on that part. I asked others where they got it because I thought they were neat and they said they were mailed to them. I did not receive one in the mail. I never got the 10 day reminder or the family mailer either. ,,,,,I did not receive the KENT state shirt in the mail prior to arriving. So I felt left out on that part. I asked others where they got it because I thought they were neat and they said they were mailed to them. I did not receive one in the mail. Please send the T-shirt. Jacqlyn Caspers
,,,,,,
Nope. You guys did a great job! ,Heather Ryan (my advisor) did a phenomenal job making sure that I got all of my classes I needed scheduled and made sure I felt welcomed into the college of aeronautics and engineering. ,There’s really nothing I can share about the college and opertunities and advising prep session.,Meeting more students from my major.,Nope. All were covered in great detail!,Being able connect with current and future students and the investment in my experience that the flash guides and KSU staff put into me. ,Why wasn’t flash there? Does he have the summer off? ;) 
,,,,,,
Nope I loved it,,,When my stepmom left it allowed me to branch out and talk to others.,,My favorite part was scheduling my classes. My academic advisor was super helpful.  ,Overall I had so much fun.
,,,,,,
"Give the students a chance to meet their roommate before the night, so they’re not going into the dorm with an awkward situation, or don’t have them spend the night at all. Also, have the students do more with their specific college because it’s a smaller group so it’s easier to make connections and make friends with others there.",,,"Doing more activities in smaller groups, specifically with our separate colleges.  ",,,
"it was really long and a lot of info, but it was good! ",they were very helpful in scheduling me for classes that fit my lacrosse schedule ,N/A,N/A,N/A,finding all my classes on the campus ,N/A
,,,More time with students in my college/major,,,
,,,,,,
No,,,,,,
,,,,,The whole experience went very well! I learned about a lot I had no idea about! ,
,,,,,,
,,,More time to interact ,Nah you good fam,Meeting with the advisor. I was given very personal attention even though there were many people the advisor had to get through. ,"My personal dks experience was very dookie. The information was good to learn, but it was so long. After the presentations, there was not a lot to do with the friends and classmates after. I thought there would be a lot more interaction among the students. I also thought there would be a lot more exploring the campus and learning about the different classes that the students would be taking. "
,,,,,,
,It was a good experience. ,It was a good experience.,"Not a lot of students share my interests in technology and design. The students I DID meet had minimal experience with professional designing and engineering, so it was difficult to connect with them. I would have liked to meet a students with the same ambition that I have for my future career.","I wish the 3D printers and other ""Maker space"" type topics were covered. They were covered a bit under the art portion, but not the the extent I was hoping.",I liked walking round campus and finding out where my classes would be. The library was pretty cool too. Especially with the 3D printers. :),
"It was fine, I just struggle with math due to a math disability.",Talk about scholarships a little more.,Didn't have enough time to get through all of the booths so we missed getting to talk to a lot of people and campus organizations.,It's up to the students to reach out.,More in-depth campus tour.  ,I enjoyed the Freshman in Florence presentation.,Put the city tour earlier in the day so students can see the city and visit shops.    Program was great and all of the free t-shirts were nice since the bookstore was so terribly expensive - even the clearance rack was expensive.  All we could afford was a stick for parent's  car.
,,,,,Meeting the Flashguides and meeting new students and making new friends,
,,,If this wasn’t so far away from the start of school and we’d being seeing each other sooner.  ,,,
Munipulating/drawing the graphs was very difficult. I ended up not trying on the graphing sections altogether because I knew I couldn’t make them look right. This drastically lowered my score. ,"Even though I don’t know exactly what I want to do, my advisors made sure that no matter what, I would have the right classes to get me started. They were also very polite and helpful, sharing lots of information and answering all my questions. ",,,There could be a longer period of free time to meet new people. ,I liked asking the guides questions because they are actually experiencing college right now. ,
,,,The LGBTQ club bracelet got us talking and we just didnt stop,"Blackboard, maybe put it in with the breakfast advisor appointment. If it was already there I didnt yo thought it because of my CCP history with Kent State ",,"The food wasn't as good as I'd hoped it to be. The desserts were great but the pasta was cold, the alfredo sauce was lumpy, the pita bread was hard, the breakfast was limited in a range of dietary needs (I'd expected at least some eggs and bacon) and there were no big (16oz) coffee to go cups "
,,,,,,
No,she gave me a great advice in what I ask her in question ,,I just Essa and hello and started to talk with the person next to me. ,,Spending time with the flashguides and hearing from them,
,,,I stayed with the same few people and I should’ve been more open ,,Definitely the evening event where we got to speak and play games with other students. I made theee new friends got their contact information in an hour. Very very fun people. ,
,,,more time to talk with incoming freshman,I think more time should be spent on scheduling and there should be more time allotted to think about your schedule. ,talking with the flash guides because it was genuine and wasn’t really a scripted response. ,
,,,,,,
no,,,n/a,no,scheduling classes,
,,,,,,
,,,,,,
No,,,Talk to them more ,No,The leader of my group in DKS,No
,,,,,,
,"When the advisor has limited time to talk to students not all questions get answered, and this happened to me. I feel like I still don't fully understand what I need to do for my fall classes or for my major, so I would just recommend that sufficient time is allowed for advising.",,,,"I found a group of people at the evening social activities and ended up spending the rest of the night with them, so it wasn't necessarily a program that was my favorite but just meeting other new students.",
,,,More opportunities to meet people in the beginning of the day.,,My favorite part was the “fake lecture” by the professor during the hour first class session.,
Paper and pencil would probably be better than online assignments.,N/A,N/A,Exchanging phone numbers,Finding and going through classes on our schedules ,Being able to explore campus and downtown.,
No.,"I was a little bit confused as to why my advisor I met with wasn’t really associated with the profession I’m going into (fashion), she was amazing but she wasn’t able to answer all the questions I had. I think it would of been a little bit more convenient for the both of us if it was a person who really knew what I should plan. Besides that, she was incredible in helping me get the classes I wanted and explaining the system to me. ",Was fun and eventful.,Rooming with someone and talking to people who were in my divided group and interested in the same major as me.,I think a little more opportunity to connect to the other participates that are going to attend Kent. It was a little bit hard to talk to new people since we spent a lot of the time listening. Maybe more games to connect overall? ,"I really liked getting to know everyone and meeting our DKS flashguides, they all were so friendly and extremely helpful. ",
,,,,,,
,,,,,,
,,I felt very overwhelmed and not completely sure what I was doing when scheduling. I wish the guides would have talked to us more about classes. ,Most people did not really want to engage or was too shy to engage. More involvement ,Scheduling classes ,I liked being able to explore downtown and see what all there is ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Multiple choice ,,,Being roomed with someone from the same city ,Campus tours ,Walking around downtown and chilling after everything was done   ,
,,,Our personalities.  ,No,Meeting new friends. It Was Fun and Very Helpful.  ,I had a Lot Of Fun with a Lot Of People I relate To.
,,,Hanging out with college before lectures begin ,,Meeting new people at the end of the night. ,
,,,,Another tour of campus ,,
,,,,,,
No.,I felt like the advisor chose the classes for me rather than me being able to choose the classes I wanted to take.,,Having more time in smaller groups.,,,
,,,"Rooming me with a person in my major or college, or working with smaller groups in some way.",The tour of the colleges,,"Please try to space out or otherwise break up the lectures a bit more, it was just a lot to take in at once."
,,,,,,
no,I had a great connection with my advisor already and felt comfortable speaking to her.,,"Maybe if we would’ve actually paired up in a game, I would’ve taken a bit more initiative to talk to someone. ",maybe a tour of how the library works or the rec center ,my favorite part was after the flash guides revealed their stories and our colleges sat together to relax and talk ,
,,,,,,
,,,,,,DKS is too long should just be a day long. 
,Info on online books,,,Walk to classes after registering,Meeting new people and socializing with them. ,
,,,,,,
I found the calculator almost pointless since majority of the questions didn't allow it.,,,More student free time.,Everyday student life.,The evening activities and the flashguides.,Dining was awkward especially since I came alone and most of the students who came with parents wanted to eat with their parents. It was intimidating to try and sit with stranger when their parents are there. Maybe have students with their families sit in one area and students by themselves in another so they won't be alone or uncomfortable.
,,,,,,
,,,more time to interact with other people ,,it was a very long day with not a lot of breaks in between. but the information was useful ,
,,,,,,
,,,,Advising process.,The class sample speech.,
,,,,,,
,,,If I opened up more and actually tried talking to other students.,,,
,,,"Smaller groups, games, and more intimate discussions rather than just the giant crowds and meetings",More time with meal plans and flashcash,Scheduling classes and expiring campus with friends,
,,,I didn’t make any friends whatsoever until we went to downtown Kent. Maybe if we did an icebreaker first thing where we actually had to introduce ourselves.,Ice breakers,Advising,
,,,,,,
,,,,,,
,,,,,,
Send an email or Kent email as a reminder about it. I didn’t realize it was there until it was almost too late,,,More small groupings and games that kind of force us to talk to eachother ,Small group games/icebreakers  Teaching us to navigate campus,My advisor meeting. She was very nice and helpful and it got me very excited to start in the fall,
,,,,,,
,,,,,,
,,,,,,
,,,More time to meet people. ,Finding way around campus ,,
,,,"More student-based activities, instead of lectures taking up half the day. ","The campus, and how to navigate it. ",My favorite part was meeting a lorn of new friends at the downstairs party across from Quaker. I met a lot of new friends there and we hung out for awhile back at my dorm talking for hours. It was so much fun! ,
Information was very well explained. There were things answered that I didn't even think to ask but still didn't know.,I felt super comfortable talking with my advisor and he helped me a lot with understanding why I scheduled my classes the way I did.,,being outgoing and finding similar interests,I think everything was equally talked about.,Free time at the end of day one. It let us meet new people.,
,My adademic advisor was so sweet and funny! I really felt like she understood what I wanted for my first semester of college and my schedule ended up being great. ,,,,I loved the flash guides. They were all so funny and I can’t wait to see them around campus. ,
No,,,Partner activities ,Finding jobs on campus ,Interacting with the flashguides ,
,,,,Try not to schedule everything into day 1 and maybe make day 2 a little longer.,Meeting upperclassmen (flashguides) and how helpful and welcoming they were. ,
,,,,,,
,,,,No ,Meeting classmates ,
,,,More activities that involve working with other students,,The evening activity night - really gave the opoortunity to bond further with the students I met throughout the day,
DKS was absolutely wonderful. Got tired of listening to everyone talk the first day though because I had such a long drive that morning.,,,,,I loved being able to meet and talk to other incoming students.,
,,,Being in groups ,,,
,,,,,,
,Very helpful and informational. I’m glad this time was set aside for the incoming freshman ,,More “free” time with students ,I cannot think of anything that was not timed well during my experience at DKS,My favorite part about DKS was flashguide stories or in the evening when we got to tour downtown and hang out and meet new people in the student center. It was great getting to know my future classmates since I only know 4 people at the university it was an amazing opportunity to meet new people and make new friends ,"I had an amazing time at DKS I met many new classmates and all of the flash guides. I fell more in love with the campus and school and atmosphere in just a day and a half. It made me more excited for college that a tornado in a trailer park and I can’t wait for move in day. (2 months, 5 days, 8 hours, 24 minutes. But who’a counting?)"
,,,More interactive activities with students. ,I think a tour of Campus would be a good idea.,The evening activities with other students. It gave me time to make friends and common experience with my peers ,
Less lectures please!,,,"More time to socialize, less lectures.  ",,Downtown walk/“party” afterwards ,
,,,,,"Scheduling classes, and walking on campus by myself.",
,"My advisor, Shannon Tate, was very helpful and seemed genuinely interested in me as a person and as a student! The experience was pleasant, informative, and easy.",,,,,
No,,,,,,
,,,,,,
,,,,,,
,,,,,,We didn’t learn anything about getting materials for classes. Mostly everything we did was dragged out and too repetitive when we could’ve been learning about classes. I think that the whole process is too long and very tiring for students. The only person that was there for me to talk to was my roommate because we went on the same day. 
,,,,,,
The presentations on day 1 were too long...It was boring ,She was very helpful,,More stuff to do with students,,,
,,,,,,"The day was entirely too long and filled with a lot of unnecessary information. All of the topics could have been addressed in a couple of hours. The food wasn't good at all, especially considering the cost for guests."
,,,,,,
,,,Being in the same college and or just relating to random stories out of no where,,"The stories from the flash guides. I feel like there is some presentations that could be either taken out (or even make check in shorter), or just take away time so that more than just 3 flash guides could talk in the kiva. It was interesting to hear the different stories and after hearing them it made us future students want to talk to them more (the ones that gave speeches)",
,,,,,,
,,,Communication,,Flash Guides,
,,,,,I enjoyed the guest lecture given during the “Your First Class” seminar,
,,,,,,
,,,,,,
,,,,,,
,,,I tried to go out of my way to try and make friends. I thought that it was the best way to try and have a very good time at DKS.,,My favorite part was just walking around campus and seeing everything and learning where everything is,
Be more specific on whether you have to do the learning modules or not. It made it seem like no matter what you had to do them when you dont ,,,More get to know you and games ,Walking around campus ,Actually being able to move and walk around freely at night ,
,,,,,,
,,,,,,
,,,,Best ways to purchase books and supplies    Structure of KSU kickoff,"Advising meeting - positive experience, not at all rushed    Academic tips - informative    Mingling with classmates - positive, welcoming atmosphere    ",Wonderful and energizing experience overall
"I believe that it should be made more clear that there are learning modules to take before the assessment, because many students I met are good at math as a whole but didnt know what to expect on the placement assessment and didn’t know there were learning modules, therefore they placed lower than they should have. ",,,,,,
,"My advisor was extremely nice and helpful. She made my experience great, and I'm very thankful. ",,More interactive games and meet and greets ,,I loved the First Class experience and the advising. The professor was very interactive and friendly and made the material interesting. ,
,,,,,,
,,,,,,
,I scheduled with FiF and I enjoyed the more one-on-one opportunity as it helped me to navigate my college credit and what I have left to complete.,,Actually having the time to talk to other students in a facilitated environment (i.e. having a session with ice-breaking activities prior to having so many sessions and meals so you meet people enough to sit with for these activities). ,"Have parents attend things they care about and give students the “bullet points” of those things (finances, health, safety,etc.). Have the housing director teach those giving presentations throughout the day how to actually keep students’ attention about topics they may not quite care about. Cut the amount of time for many of the long lectures, if you need an hour, you are saying too much and it won’t get remembered.","THE SECOND DAY!!! As a student not technically on campus in the fall, many of the first day’s topics were spent with people I won’t be around until the spring who I didn’t know or have the opportunity to meet, and I will have to complete a similar orientation before the spring anyway, so the second day really helped. I got to meet people in my Program and talk and learn more about my opportunities. It felt more personalized.",The information provided felt repetitive from any campus tour. Break-out sessions that aren’t required could provide a better opportunity for people interested in certain topics to learn about them and to find where to acquire more indormation if need be. Have parents do the financial and other sessions while students actually meet one another so socializing is not inhibited by parental presence. 
,"She was super nice but i thought i had more options, honestly dont think it was her fault at all.",give a list of what id be required to do and options for classes sent so i could prepare for my advising visit and now what i actually want,"groups of people who didn't have roommates, and in  general just meet in different small groups and get to know people","meeting people, classes, going to ALL buildings","the group playing games with the flash guides and getting to know my majors flash-guide, even if they weren't in my major",
,,,,Navigating the campus,Talking to other students,
Inform students what they have access to/ what they are allowed to utilize to assist them during the placement assessments prior to taking them.,,,,,Beginning to build potential friendships and bonds with my peers.,
I would make it clearer to the students what each placement test is covering for topics ,,,,Touring he campus ,Meetingy future classmates and scheduling classes ,
Take it before you’re done with the school year ,Wasn’t very helpful ,The African American women giving the SRVSS talk was absolutely horrible. She sounded illiterate and couldn’t read. Half the crowd was asleep and the other half was on their phones ,If I wouldn’t have hung out with just my friends that I came to DKS with ,,,Flashguides were very friendly and made sure we had a fun and good experience.
